i,j,oi,oj,new_poly_i,new_poly_j,nfp,convex_status,vertical_direction
0,0,0,0,"[[150.0, 500.0], [200.0, 650.0], [100.0, 600.0], [0.0, 650.0], [50.0, 550.0], [0.0, 400.0], [0.0, 250.0], [50.0, 150.0], [0.0, 0.0], [100.0, 50.0], [200.0, 0.0], [150.0, 100.0], [200.0, 250.0], [200.0, 400.0], [150.0, 500.0]]","[[150.0, 250.0], [200.0, 400.0], [100.0, 350.0], [0.0, 400.0], [50.0, 300.0], [0.0, 150.0], [0.0, 0.0], [50.0, -100.0], [0.0, -250.0], [100.0, -200.0], [200.0, -250.0], [150.0, -150.0], [200.0, 0.0], [200.0, 150.0], [150.0, 250.0]]","[[0.0, 0.0], [100.0, 50.0], [200.0, 0.0], [300.0, 50.0], [400.0, 0.0], [350.0, 100.0], [400.0, 250.0], [400.0, 400.0], [380.0, 440.0], [400.0, 500.0], [400.0, 800.0], [380.0, 840.0], [400.0, 900.0], [400.0, 1050.0], [350.0, 1150.0], [400.0, 1300.0], [300.0, 1250.0], [200.0, 1300.0], [100.0, 1250.0], [0.0, 1300.0], [50.0, 1200.0], [0.0, 1050.0], [0.0, 900.0], [20.0, 860.0], [0.0, 800.0], [0.0, 500.0], [20.0, 460.0], [0.0, 400.0], [0.0, 250.0], [50.0, 150.0]]","[1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0]","[[], [[-49.99999999999999, 100.0], [50.00000000000001, 100.0]], [], [[-49.99999999999999, 100.0], [50.00000000000001, 100.0]], [], [[-100.0, -49.99999999999999], [-150.0, 50.00000000000001]], [], [], [[-40.0, -19.999999999999996], [-60.0, 20.000000000000004]], [], [], [[-40.0, -19.999999999999996], [-60.0, 20.000000000000004]], [], [], [[-100.0, -49.99999999999999], [-150.0, 50.00000000000001]], [], [[49.99999999999999, -100.0], [-50.00000000000001, -100.0]], [], [[49.99999999999999, -100.0], [-50.00000000000001, -100.0]], [], [[100.0, 49.99999999999999], [150.0, -50.00000000000001]], [], [], [[40.0, 19.999999999999996], [60.0, -20.000000000000004]], [], [], [[40.0, 19.999999999999996], [60.0, -20.000000000000004]], [], [], [[100.0, 49.99999999999999], [150.0, -50.00000000000001]]]"
0,0,0,1,"[[150.0, 500.0], [200.0, 650.0], [100.0, 600.0], [0.0, 650.0], [50.0, 550.0], [0.0, 400.0], [0.0, 250.0], [50.0, 150.0], [0.0, 0.0], [100.0, 50.0], [200.0, 0.0], [150.0, 100.0], [200.0, 250.0], [200.0, 400.0], [150.0, 500.0]]","[[50.0, -100.0], [0.0, -250.0], [100.0, -200.0], [200.0, -250.0], [150.0, -150.0], [200.0, 0.0], [200.0, 150.0], [150.0, 250.0], [200.0, 400.0], [100.0, 350.0], [0.0, 400.0], [50.0, 300.0], [0.0, 150.0], [0.0, 0.0], [50.0, -100.0]]","[[0.0, 0.0], [100.0, 50.0], [200.0, 0.0], [300.0, 50.0], [400.0, 0.0], [350.0, 100.0], [400.0, 250.0], [400.0, 400.0], [380.0, 440.0], [400.0, 500.0], [400.0, 800.0], [380.0, 840.0], [400.0, 900.0], [400.0, 1050.0], [350.0, 1150.0], [400.0, 1300.0], [300.0, 1250.0], [200.0, 1300.0], [100.0, 1250.0], [0.0, 1300.0], [50.0, 1200.0], [0.0, 1050.0], [0.0, 900.0], [20.0, 860.0], [0.0, 800.0], [0.0, 500.0], [20.0, 460.0], [0.0, 400.0], [0.0, 250.0], [50.0, 150.0]]","[1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0]","[[], [[-49.99999999999999, 100.0], [50.00000000000001, 100.0]], [], [[-49.99999999999999, 100.0], [50.00000000000001, 100.0]], [], [[-100.0, -49.99999999999999], [-150.0, 50.00000000000001]], [], [], [[-40.0, -19.999999999999996], [-60.0, 20.000000000000004]], [], [], [[-40.0, -19.999999999999996], [-60.0, 20.000000000000004]], [], [], [[-100.0, -49.99999999999999], [-150.0, 50.00000000000001]], [], [[49.99999999999999, -100.0], [-50.00000000000001, -100.0]], [], [[49.99999999999999, -100.0], [-50.00000000000001, -100.0]], [], [[100.0, 49.99999999999999], [150.0, -50.00000000000001]], [], [], [[40.0, 19.999999999999996], [60.0, -20.000000000000004]], [], [], [[40.0, 19.999999999999996], [60.0, -20.000000000000004]], [], [], [[100.0, 49.99999999999999], [150.0, -50.00000000000001]]]"
0,0,1,0,"[[50.0, 150.0], [0.0, 0.0], [100.0, 50.0], [200.0, 0.0], [150.0, 100.0], [200.0, 250.0], [200.0, 400.0], [150.0, 500.0], [200.0, 650.0], [100.0, 600.0], [0.0, 650.0], [50.0, 550.0], [0.0, 400.0], [0.0, 250.0], [50.0, 150.0]]","[[150.0, 250.0], [200.0, 400.0], [100.0, 350.0], [0.0, 400.0], [50.0, 300.0], [0.0, 150.0], [0.0, 0.0], [50.0, -100.0], [0.0, -250.0], [100.0, -200.0], [200.0, -250.0], [150.0, -150.0], [200.0, 0.0], [200.0, 150.0], [150.0, 250.0]]","[[0.0, 0.0], [100.0, 50.0], [200.0, 0.0], [300.0, 50.0], [400.0, 0.0], [350.0, 100.0], [400.0, 250.0], [400.0, 400.0], [380.0, 440.0], [400.0, 500.0], [400.0, 800.0], [380.0, 840.0], [400.0, 900.0], [400.0, 1050.0], [350.0, 1150.0], [400.0, 1300.0], [300.0, 1250.0], [200.0, 1300.0], [100.0, 1250.0], [0.0, 1300.0], [50.0, 1200.0], [0.0, 1050.0], [0.0, 900.0], [20.0, 860.0], [0.0, 800.0], [0.0, 500.0], [20.0, 460.0], [0.0, 400.0], [0.0, 250.0], [50.0, 150.0]]","[1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0]","[[], [[-49.99999999999999, 100.0], [50.00000000000001, 100.0]], [], [[-49.99999999999999, 100.0], [50.00000000000001, 100.0]], [], [[-100.0, -49.99999999999999], [-150.0, 50.00000000000001]], [], [], [[-40.0, -19.999999999999996], [-60.0, 20.000000000000004]], [], [], [[-40.0, -19.999999999999996], [-60.0, 20.000000000000004]], [], [], [[-100.0, -49.99999999999999], [-150.0, 50.00000000000001]], [], [[49.99999999999999, -100.0], [-50.00000000000001, -100.0]], [], [[49.99999999999999, -100.0], [-50.00000000000001, -100.0]], [], [[100.0, 49.99999999999999], [150.0, -50.00000000000001]], [], [], [[40.0, 19.999999999999996], [60.0, -20.000000000000004]], [], [], [[40.0, 19.999999999999996], [60.0, -20.000000000000004]], [], [], [[100.0, 49.99999999999999], [150.0, -50.00000000000001]]]"
0,0,1,1,"[[50.0, 150.0], [0.0, 0.0], [100.0, 50.0], [200.0, 0.0], [150.0, 100.0], [200.0, 250.0], [200.0, 400.0], [150.0, 500.0], [200.0, 650.0], [100.0, 600.0], [0.0, 650.0], [50.0, 550.0], [0.0, 400.0], [0.0, 250.0], [50.0, 150.0]]","[[50.0, -100.0], [0.0, -250.0], [100.0, -200.0], [200.0, -250.0], [150.0, -150.0], [200.0, 0.0], [200.0, 150.0], [150.0, 250.0], [200.0, 400.0], [100.0, 350.0], [0.0, 400.0], [50.0, 300.0], [0.0, 150.0], [0.0, 0.0], [50.0, -100.0]]","[[0.0, 0.0], [100.0, 50.0], [200.0, 0.0], [300.0, 50.0], [400.0, 0.0], [350.0, 100.0], [400.0, 250.0], [400.0, 400.0], [380.0, 440.0], [400.0, 500.0], [400.0, 800.0], [380.0, 840.0], [400.0, 900.0], [400.0, 1050.0], [350.0, 1150.0], [400.0, 1300.0], [300.0, 1250.0], [200.0, 1300.0], [100.0, 1250.0], [0.0, 1300.0], [50.0, 1200.0], [0.0, 1050.0], [0.0, 900.0], [20.0, 860.0], [0.0, 800.0], [0.0, 500.0], [20.0, 460.0], [0.0, 400.0], [0.0, 250.0], [50.0, 150.0]]","[1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0]","[[], [[-49.99999999999999, 100.0], [50.00000000000001, 100.0]], [], [[-49.99999999999999, 100.0], [50.00000000000001, 100.0]], [], [[-100.0, -49.99999999999999], [-150.0, 50.00000000000001]], [], [], [[-40.0, -19.999999999999996], [-60.0, 20.000000000000004]], [], [], [[-40.0, -19.999999999999996], [-60.0, 20.000000000000004]], [], [], [[-100.0, -49.99999999999999], [-150.0, 50.00000000000001]], [], [[49.99999999999999, -100.0], [-50.00000000000001, -100.0]], [], [[49.99999999999999, -100.0], [-50.00000000000001, -100.0]], [], [[100.0, 49.99999999999999], [150.0, -50.00000000000001]], [], [], [[40.0, 19.999999999999996], [60.0, -20.000000000000004]], [], [], [[40.0, 19.999999999999996], [60.0, -20.000000000000004]], [], [], [[100.0, 49.99999999999999], [150.0, -50.00000000000001]]]"
0,1,0,0,"[[150.0, 500.0], [200.0, 650.0], [100.0, 600.0], [0.0, 650.0], [50.0, 550.0], [0.0, 400.0], [0.0, 250.0], [50.0, 150.0], [0.0, 0.0], [100.0, 50.0], [200.0, 0.0], [150.0, 100.0], [200.0, 250.0], [200.0, 400.0], [150.0, 500.0]]","[[0.0, -150.0], [100.0, -200.0], [200.0, -150.0], [200.0, 0.0], [150.0, 100.0], [200.0, 250.0], [200.0, 400.0], [100.0, 450.0], [0.0, 400.0], [0.0, 250.0], [50.0, 150.0], [0.0, 0.0], [0.0, -150.0]]","[[0.0, 0.0], [100.0, 50.0], [200.0, 0.0], [300.0, 50.0], [300.0, 200.0], [280.0, 240.0], [300.0, 300.0], [300.0, 600.0], [280.0, 640.0], [300.0, 700.0], [300.0, 1000.0], [280.0, 1040.0], [300.0, 1100.0], [300.0, 1250.0], [200.0, 1300.0], [100.0, 1250.0], [0.0, 1300.0], [-100.0, 1250.0], [-100.0, 1100.0], [-80.0, 1060.0], [-100.0, 1000.0], [-100.0, 700.0], [-80.0, 660.0], [-100.0, 600.0], [-100.0, 300.0], [-80.0, 260.0], [-100.0, 200.0], [-100.0, 50.0]]","[1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1]","[[], [[-49.99999999999999, 100.0], [50.00000000000001, 100.0]], [], [], [], [[-40.0, -19.999999999999996], [-60.0, 20.000000000000004]], [], [], [[-40.0, -19.999999999999996], [-60.0, 20.000000000000004]], [], [], [[-40.0, -19.999999999999996], [-60.0, 20.000000000000004]], [], [], [], [[49.99999999999999, -100.0], [-50.00000000000001, -100.0]], [], [], [], [[40.0, 19.999999999999996], [60.0, -20.000000000000004]], [], [], [[40.0, 19.999999999999996], [60.0, -20.000000000000004]], [], [], [[40.0, 19.999999999999996], [60.0, -20.000000000000004]], [], []]"
0,1,0,1,"[[150.0, 500.0], [200.0, 650.0], [100.0, 600.0], [0.0, 650.0], [50.0, 550.0], [0.0, 400.0], [0.0, 250.0], [50.0, 150.0], [0.0, 0.0], [100.0, 50.0], [200.0, 0.0], [150.0, 100.0], [200.0, 250.0], [200.0, 400.0], [150.0, 500.0]]","[[200.0, 400.0], [100.0, 450.0], [0.0, 400.0], [0.0, 250.0], [50.0, 150.0], [0.0, 0.0], [0.0, -150.0], [100.0, -200.0], [200.0, -150.0], [200.0, 0.0], [150.0, 100.0], [200.0, 250.0], [200.0, 400.0]]","[[0.0, 0.0], [100.0, 50.0], [200.0, 0.0], [300.0, 50.0], [300.0, 200.0], [280.0, 240.0], [300.0, 300.0], [300.0, 600.0], [280.0, 640.0], [300.0, 700.0], [300.0, 1000.0], [280.0, 1040.0], [300.0, 1100.0], [300.0, 1250.0], [200.0, 1300.0], [100.0, 1250.0], [0.0, 1300.0], [-100.0, 1250.0], [-100.0, 1100.0], [-80.0, 1060.0], [-100.0, 1000.0], [-100.0, 700.0], [-80.0, 660.0], [-100.0, 600.0], [-100.0, 300.0], [-80.0, 260.0], [-100.0, 200.0], [-100.0, 50.0]]","[1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1]","[[], [[-49.99999999999999, 100.0], [50.00000000000001, 100.0]], [], [], [], [[-40.0, -19.999999999999996], [-60.0, 20.000000000000004]], [], [], [[-40.0, -19.999999999999996], [-60.0, 20.000000000000004]], [], [], [[-40.0, -19.999999999999996], [-60.0, 20.000000000000004]], [], [], [], [[49.99999999999999, -100.0], [-50.00000000000001, -100.0]], [], [], [], [[40.0, 19.999999999999996], [60.0, -20.000000000000004]], [], [], [[40.0, 19.999999999999996], [60.0, -20.000000000000004]], [], [], [[40.0, 19.999999999999996], [60.0, -20.000000000000004]], [], []]"
0,1,1,0,"[[50.0, 150.0], [0.0, 0.0], [100.0, 50.0], [200.0, 0.0], [150.0, 100.0], [200.0, 250.0], [200.0, 400.0], [150.0, 500.0], [200.0, 650.0], [100.0, 600.0], [0.0, 650.0], [50.0, 550.0], [0.0, 400.0], [0.0, 250.0], [50.0, 150.0]]","[[0.0, -150.0], [100.0, -200.0], [200.0, -150.0], [200.0, 0.0], [150.0, 100.0], [200.0, 250.0], [200.0, 400.0], [100.0, 450.0], [0.0, 400.0], [0.0, 250.0], [50.0, 150.0], [0.0, 0.0], [0.0, -150.0]]","[[0.0, 0.0], [100.0, 50.0], [200.0, 0.0], [300.0, 50.0], [300.0, 200.0], [280.0, 240.0], [300.0, 300.0], [300.0, 600.0], [280.0, 640.0], [300.0, 700.0], [300.0, 1000.0], [280.0, 1040.0], [300.0, 1100.0], [300.0, 1250.0], [200.0, 1300.0], [100.0, 1250.0], [0.0, 1300.0], [-100.0, 1250.0], [-100.0, 1100.0], [-80.0, 1060.0], [-100.0, 1000.0], [-100.0, 700.0], [-80.0, 660.0], [-100.0, 600.0], [-100.0, 300.0], [-80.0, 260.0], [-100.0, 200.0], [-100.0, 50.0]]","[1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1]","[[], [[-49.99999999999999, 100.0], [50.00000000000001, 100.0]], [], [], [], [[-40.0, -19.999999999999996], [-60.0, 20.000000000000004]], [], [], [[-40.0, -19.999999999999996], [-60.0, 20.000000000000004]], [], [], [[-40.0, -19.999999999999996], [-60.0, 20.000000000000004]], [], [], [], [[49.99999999999999, -100.0], [-50.00000000000001, -100.0]], [], [], [], [[40.0, 19.999999999999996], [60.0, -20.000000000000004]], [], [], [[40.0, 19.999999999999996], [60.0, -20.000000000000004]], [], [], [[40.0, 19.999999999999996], [60.0, -20.000000000000004]], [], []]"
0,1,1,1,"[[50.0, 150.0], [0.0, 0.0], [100.0, 50.0], [200.0, 0.0], [150.0, 100.0], [200.0, 250.0], [200.0, 400.0], [150.0, 500.0], [200.0, 650.0], [100.0, 600.0], [0.0, 650.0], [50.0, 550.0], [0.0, 400.0], [0.0, 250.0], [50.0, 150.0]]","[[200.0, 400.0], [100.0, 450.0], [0.0, 400.0], [0.0, 250.0], [50.0, 150.0], [0.0, 0.0], [0.0, -150.0], [100.0, -200.0], [200.0, -150.0], [200.0, 0.0], [150.0, 100.0], [200.0, 250.0], [200.0, 400.0]]","[[0.0, 0.0], [100.0, 50.0], [200.0, 0.0], [300.0, 50.0], [300.0, 200.0], [280.0, 240.0], [300.0, 300.0], [300.0, 600.0], [280.0, 640.0], [300.0, 700.0], [300.0, 1000.0], [280.0, 1040.0], [300.0, 1100.0], [300.0, 1250.0], [200.0, 1300.0], [100.0, 1250.0], [0.0, 1300.0], [-100.0, 1250.0], [-100.0, 1100.0], [-80.0, 1060.0], [-100.0, 1000.0], [-100.0, 700.0], [-80.0, 660.0], [-100.0, 600.0], [-100.0, 300.0], [-80.0, 260.0], [-100.0, 200.0], [-100.0, 50.0]]","[1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1]","[[], [[-49.99999999999999, 100.0], [50.00000000000001, 100.0]], [], [], [], [[-40.0, -19.999999999999996], [-60.0, 20.000000000000004]], [], [], [[-40.0, -19.999999999999996], [-60.0, 20.000000000000004]], [], [], [[-40.0, -19.999999999999996], [-60.0, 20.000000000000004]], [], [], [], [[49.99999999999999, -100.0], [-50.00000000000001, -100.0]], [], [], [], [[40.0, 19.999999999999996], [60.0, -20.000000000000004]], [], [], [[40.0, 19.999999999999996], [60.0, -20.000000000000004]], [], [], [[40.0, 19.999999999999996], [60.0, -20.000000000000004]], [], []]"
0,2,0,0,"[[150.0, 500.0], [200.0, 650.0], [100.0, 600.0], [0.0, 650.0], [50.0, 550.0], [0.0, 400.0], [0.0, 250.0], [50.0, 150.0], [0.0, 0.0], [100.0, 50.0], [200.0, 0.0], [150.0, 100.0], [200.0, 250.0], [200.0, 400.0], [150.0, 500.0]]","[[0.0, -150.0], [100.0, -200.0], [200.0, -150.0], [200.0, 0.0], [150.0, 100.0], [200.0, 250.0], [100.0, 200.0], [0.0, 250.0], [50.0, 150.0], [0.0, 0.0], [0.0, -150.0]]","[[0.0, 0.0], [100.0, 50.0], [200.0, 0.0], [300.0, 50.0], [400.0, 0.0], [350.0, 100.0], [400.0, 250.0], [400.0, 400.0], [380.0, 440.0], [400.0, 500.0], [400.0, 800.0], [380.0, 840.0], [400.0, 900.0], [400.0, 1050.0], [300.0, 1100.0], [200.0, 1050.0], [100.0, 1100.0], [0.0, 1050.0], [0.0, 900.0], [20.0, 860.0], [0.0, 800.0], [0.0, 500.0], [20.0, 460.0], [0.0, 400.0], [0.0, 250.0], [50.0, 150.0]]","[1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0]","[[], [[-49.99999999999999, 100.0], [50.00000000000001, 100.0]], [], [[-49.99999999999999, 100.0], [50.00000000000001, 100.0]], [], [[-100.0, -49.99999999999999], [-150.0, 50.00000000000001]], [], [], [[-40.0, -19.999999999999996], [-60.0, 20.000000000000004]], [], [], [[-40.0, -19.999999999999996], [-60.0, 20.000000000000004]], [], [], [], [[49.99999999999999, -100.0], [-50.00000000000001, -100.0]], [], [], [], [[40.0, 19.999999999999996], [60.0, -20.000000000000004]], [], [], [[40.0, 19.999999999999996], [60.0, -20.000000000000004]], [], [], [[100.0, 49.99999999999999], [150.0, -50.00000000000001]]]"
0,2,0,1,"[[150.0, 500.0], [200.0, 650.0], [100.0, 600.0], [0.0, 650.0], [50.0, 550.0], [0.0, 400.0], [0.0, 250.0], [50.0, 150.0], [0.0, 0.0], [100.0, 50.0], [200.0, 0.0], [150.0, 100.0], [200.0, 250.0], [200.0, 400.0], [150.0, 500.0]]","[[200.0, 200.0], [100.0, 250.0], [0.0, 200.0], [0.0, 50.0], [50.0, -50.0], [0.0, -200.0], [100.0, -150.0], [200.0, -200.0], [150.0, -100.0], [200.0, 50.0], [200.0, 200.0]]","[[0.0, 0.0], [100.0, 50.0], [200.0, 0.0], [300.0, 50.0], [300.0, 200.0], [280.0, 240.0], [300.0, 300.0], [300.0, 600.0], [280.0, 640.0], [300.0, 700.0], [300.0, 850.0], [250.0, 950.0], [300.0, 1100.0], [200.0, 1050.0], [100.0, 1100.0], [0.0, 1050.0], [-100.0, 1100.0], [-50.0, 1000.0], [-100.0, 850.0], [-100.0, 700.0], [-80.0, 660.0], [-100.0, 600.0], [-100.0, 300.0], [-80.0, 260.0], [-100.0, 200.0], [-100.0, 50.0]]","[1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1]","[[], [[-49.99999999999999, 100.0], [50.00000000000001, 100.0]], [], [], [], [[-40.0, -19.999999999999996], [-60.0, 20.000000000000004]], [], [], [[-40.0, -19.999999999999996], [-60.0, 20.000000000000004]], [], [], [[-100.0, -49.99999999999999], [-150.0, 50.00000000000001]], [], [[49.99999999999999, -100.0], [-50.00000000000001, -100.0]], [], [[49.99999999999999, -100.0], [-50.00000000000001, -100.0]], [], [[100.0, 49.99999999999999], [150.0, -50.00000000000001]], [], [], [[40.0, 19.999999999999996], [60.0, -20.000000000000004]], [], [], [[40.0, 19.999999999999996], [60.0, -20.000000000000004]], [], []]"
