i,j,oi,oj,new_poly_i,new_poly_j,nfp,convex_status,vertical_direction
0,0,0,0,"[[0.0, 0.0], [140.0, 20.0], [140.0, 100.0], [0.0, 140.0], [-20.0, 100.0], [-20.0, 80.0], [-40.0, 60.0], [-20.0, 40.0], [0.0, 0.0]]","[[0.0, 0.0], [140.0, 20.0], [140.0, 100.0], [0.0, 140.0], [-20.0, 100.0], [-20.0, 80.0], [-40.0, 60.0], [-20.0, 40.0], [0.0, 0.0]]","[[0.0, 0.0], [140.0, 20.0], [160.0, 60.0], [160.0, 80.0], [180.0, 100.0], [180.0, 180.0], [160.0, 200.0], [140.0, 240.0], [0.0, 280.0], [-140.0, 260.0], [-160.0, 220.0], [-160.0, 200.0], [-180.0, 180.0], [-180.0, 100.0], [-160.0, 80.0], [-140.0, 40.0]]","[1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1]","[[], [], [], [[-20.0, 1.2246467991473533e-15], [-20.0, 20.0]], [], [], [[-20.0, -20.0], [-40.0, -19.999999999999996]], [], [], [], [], [[20.0, -1.2246467991473533e-15], [20.0, -20.0]], [], [], [[20.0, 20.0], [40.0, 19.999999999999996]], []]"
0,0,0,1,"[[0.0, 0.0], [140.0, 20.0], [140.0, 100.0], [0.0, 140.0], [-20.0, 100.0], [-20.0, 80.0], [-40.0, 60.0], [-20.0, 40.0], [0.0, 0.0]]","[[100.0, 140.0], [-40.0, 120.0], [-40.0, 40.0], [100.0, 0.0], [120.0, 40.0], [120.0, 60.0], [140.0, 80.0], [120.0, 100.0], [100.0, 140.0]]","[[0.0, 0.0], [280.0, 40.0], [280.0, 200.0], [0.0, 280.0], [-60.0, 160.0], [-60.0, 140.0], [-80.0, 120.0], [-60.0, 100.0], [-40.0, 60.0], [-20.0, 40.0]]","[1, 1, 1, 1, 1, 0, 1, 0, 1, 0]","[[], [], [], [], [], [[20.0, -1.2246467991473533e-15], [20.0, -20.0]], [], [[20.0, 20.0], [40.0, 19.999999999999996]], [], [[20.0, 20.0], [40.0, 19.999999999999996]]]"
0,0,1,0,"[[0.0, 140.0], [-140.0, 120.0], [-140.0, 40.0], [0.0, 0.0], [20.0, 40.0], [20.0, 60.0], [40.0, 80.0], [20.0, 100.0], [0.0, 140.0]]","[[0.0, 0.0], [140.0, 20.0], [140.0, 100.0], [0.0, 140.0], [-20.0, 100.0], [-20.0, 80.0], [-40.0, 60.0], [-20.0, 40.0], [0.0, 0.0]]","[[0.0, 0.0], [60.0, 120.0], [60.0, 140.0], [80.0, 160.0], [60.0, 180.0], [40.0, 220.0], [20.0, 240.0], [0.0, 280.0], [-280.0, 240.0], [-280.0, 80.0]]","[1, 1, 0, 1, 0, 1, 0, 1, 1, 1]","[[], [], [[-20.0, 1.2246467991473533e-15], [-20.0, 20.0]], [], [[-20.0, -20.0], [-40.0, -19.999999999999996]], [], [[-20.0, -20.0], [-40.0, -19.999999999999996]], [], [], []]"
0,0,1,1,"[[0.0, 140.0], [-140.0, 120.0], [-140.0, 40.0], [0.0, 0.0], [20.0, 40.0], [20.0, 60.0], [40.0, 80.0], [20.0, 100.0], [0.0, 140.0]]","[[100.0, 140.0], [-40.0, 120.0], [-40.0, 40.0], [100.0, 0.0], [120.0, 40.0], [120.0, 60.0], [140.0, 80.0], [120.0, 100.0], [100.0, 140.0]]","[[0.0, 0.0], [140.0, 20.0], [160.0, 60.0], [160.0, 80.0], [180.0, 100.0], [180.0, 180.0], [160.0, 200.0], [140.0, 240.0], [0.0, 280.0], [-140.0, 260.0], [-160.0, 220.0], [-160.0, 200.0], [-180.0, 180.0], [-180.0, 100.0], [-160.0, 80.0], [-140.0, 40.0]]","[1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1]","[[], [], [], [[-20.0, 1.2246467991473533e-15], [-20.0, 20.0]], [], [], [[-20.0, -20.0], [-40.0, -19.999999999999996]], [], [], [], [], [[20.0, -1.2246467991473533e-15], [20.0, -20.0]], [], [], [[20.0, 20.0], [40.0, 19.999999999999996]], []]"
0,1,0,0,"[[0.0, 0.0], [140.0, 20.0], [140.0, 100.0], [0.0, 140.0], [-20.0, 100.0], [-20.0, 80.0], [-40.0, 60.0], [-20.0, 40.0], [0.0, 0.0]]","[[0.0, 0.0], [220.0, 0.0], [240.0, 40.0], [220.0, 60.0], [220.0, 100.0], [200.0, 120.0], [120.0, 100.0], [60.0, 120.0], [0.0, 100.0], [-20.0, 60.0], [0.0, 0.0]]","[[0.0, 0.0], [98.0, 14.0], [140.0, 0.0], [280.0, 20.0], [340.0, 40.0], [360.0, 80.0], [360.0, 160.0], [340.0, 220.0], [200.0, 260.0], [-20.0, 260.0], [-80.0, 140.0], [-60.0, 120.0], [-60.0, 80.0], [-40.0, 60.0], [-20.0, 20.0]]","[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1]","[[], [[-13.999999999999995, 98.0], [14.000000000000002, 42.0]], [], [], [], [], [], [], [], [], [], [[20.0, 20.0], [40.0, -2.4492935982947065e-15]], [], [[20.0, 20.0], [40.0, 19.999999999999996]], []]"
0,1,0,1,"[[0.0, 0.0], [140.0, 20.0], [140.0, 100.0], [0.0, 140.0], [-20.0, 100.0], [-20.0, 80.0], [-40.0, 60.0], [-20.0, 40.0], [0.0, 0.0]]","[[220.0, 120.0], [0.0, 120.0], [-20.0, 80.0], [0.0, 60.0], [0.0, 20.0], [20.0, 0.0], [100.0, 20.0], [160.0, 0.0], [220.0, 20.0], [240.0, 60.0], [220.0, 120.0]]","[[8.526512829121202e-14, -2.842170943040401e-14], [220.0, 0.0], [360.0, 20.0], [380.0, 60.0], [380.0, 140.0], [360.0, 160.0], [360.0, 200.0], [340.0, 220.0], [200.0, 260.0], [125.33333333333334, 241.33333333333331], [60.000000000000085, 259.99999999999994], [8.526512829121202e-14, 239.99999999999997], [-59.999999999999915, 119.99999999999997], [-39.999999999999915, 59.99999999999997], [-19.999999999999915, 39.99999999999997]]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0]","[[], [], [], [], [], [[-20.0, -20.0], [-40.0, 2.4492935982947065e-15]], [], [], [], [[18.666666666666682, -74.66666666666666], [-18.666666666666632, -65.33333333333326]], [], [], [], [], [[20.0, 20.0], [40.0, 19.999999999999996]]]"
0,1,1,0,"[[0.0, 140.0], [-140.0, 120.0], [-140.0, 40.0], [0.0, 0.0], [20.0, 40.0], [20.0, 60.0], [40.0, 80.0], [20.0, 100.0], [0.0, 140.0]]","[[0.0, 0.0], [220.0, 0.0], [240.0, 40.0], [220.0, 60.0], [220.0, 100.0], [200.0, 120.0], [120.0, 100.0], [60.0, 120.0], [0.0, 100.0], [-20.0, 60.0], [0.0, 0.0]]","[[0.0, 0.0], [74.66666666666666, 18.666666666666664], [140.0, 0.0], [200.0, 20.0], [260.0, 140.0], [240.0, 200.0], [220.0, 220.0], [200.0, 260.0], [-20.0, 260.0], [-160.0, 240.0], [-180.0, 200.0], [-180.0, 120.0], [-160.0, 100.0], [-160.0, 60.0], [-140.0, 40.0]]","[1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1]","[[], [[-18.66666666666666, 74.66666666666666], [18.666666666666668, 65.33333333333334]], [], [], [], [], [[-20.0, -20.0], [-40.0, -19.999999999999996]], [], [], [], [], [], [[20.0, 20.0], [40.0, -2.4492935982947065e-15]], [], []]"
0,1,1,1,"[[0.0, 140.0], [-140.0, 120.0], [-140.0, 40.0], [0.0, 0.0], [20.0, 40.0], [20.0, 60.0], [40.0, 80.0], [20.0, 100.0], [0.0, 140.0]]","[[220.0, 120.0], [0.0, 120.0], [-20.0, 80.0], [0.0, 60.0], [0.0, 20.0], [20.0, 0.0], [100.0, 20.0], [160.0, 0.0], [220.0, 20.0], [240.0, 60.0], [220.0, 120.0]]","[[0.0, 0.0], [220.0, 0.0], [280.0, 120.0], [260.0, 140.0], [260.0, 180.0], [240.0, 200.0], [220.0, 240.0], [200.0, 260.0], [102.0, 246.0], [60.0, 260.0], [-80.0, 240.0], [-140.0, 220.0], [-160.0, 180.0], [-160.0, 100.0], [-140.0, 40.0]]","[1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1]","[[], [], [], [[-20.0, -20.0], [-40.0, 2.4492935982947065e-15]], [], [[-20.0, -20.0], [-40.0, -19.999999999999996]], [], [], [[13.999999999999995, -98.0], [-14.000000000000002, -42.0]], [], [], [], [], [], []]"
0,2,0,0,"[[0.0, 0.0], [140.0, 20.0], [140.0, 100.0], [0.0, 140.0], [-20.0, 100.0], [-20.0, 80.0], [-40.0, 60.0], [-20.0, 40.0], [0.0, 0.0]]","[[0.0, 0.0], [60.0, 0.0], [60.0, -20.0], [100.0, 0.0], [160.0, 0.0], [220.0, -20.0], [240.0, 80.0], [220.0, 160.0], [140.0, 140.0], [0.0, 140.0], [0.0, 0.0]]","[[0.0, 0.0], [140.0, 20.0], [220.0, 20.0], [360.0, 40.0], [360.0, 260.0], [300.0, 277.1428571428571], [300.0, 280.0], [160.0, 320.0], [120.0, 300.0], [70.0, 300.0], [0.0, 320.0], [-20.0, 280.0], [-25.0, 255.0], [-40.0, 240.0], [-60.0, 140.0], [-40.0, 60.0], [-20.0, 40.0]]","[1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0]","[[], [[-19.999999999999993, 140.0], [4.898587196589413e-15, 80.0]], [], [], [], [[-17.142857142857114, -60.0], [-2.8571428571428896, 1.7494954273533816e-16]], [], [], [[19.999999999999996, -40.0], [-3.061616997868383e-15, -50.0]], [[-3.061616997868383e-15, -50.0], [-20.000000000000004, -70.0]], [], [], [[25.0, -5.000000000000002], [14.999999999999998, -15.000000000000002]], [], [], [], [[20.0, 20.0], [40.0, 19.999999999999996]]]"
0,2,0,1,"[[0.0, 0.0], [140.0, 20.0], [140.0, 100.0], [0.0, 140.0], [-20.0, 100.0], [-20.0, 80.0], [-40.0, 60.0], [-20.0, 40.0], [0.0, 0.0]]","[[240.0, 140.0], [180.0, 140.0], [180.0, 160.0], [140.0, 140.0], [80.0, 140.0], [20.0, 160.0], [0.0, 60.0], [20.0, -20.0], [100.0, 0.0], [240.0, 0.0], [240.0, 140.0]]","[[0.0, 0.0], [112.0, 16.0], [160.0, 0.0], [300.0, 20.0], [320.0, 120.0], [320.0, 200.0], [300.0, 280.0], [160.0, 320.0], [80.0, 300.0], [-60.0, 300.0], [-80.0, 260.0], [-80.0, 240.0], [-100.0, 220.0], [-100.0, 80.0], [-80.0, 60.0], [-60.0, 20.0], [-10.0, 20.0]]","[1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0]","[[], [[-15.999999999999993, 112.0], [16.000000000000004, 48.0]], [], [], [], [], [], [], [[19.999999999999996, -80.0], [-8.572527594031473e-15, -140.0]], [], [], [[20.0, -1.2246467991473533e-15], [20.0, -20.0]], [], [], [[20.0, 20.0], [40.0, 19.999999999999996]], [], [[3.061616997868383e-15, 50.0], [20.0, 9.999999999999998]]]"
